Parameters 
Historical Customer:,45, Wait:,2.0, Average Shopping:,45.0, Queue:,4,
Values:,
 Monday,22.383928571428573,max:,53.0,min:,6.0,Standard deviation:,10.558929477422595,Confidence interval:,23.361699124220102,21.406158018637043,
Tuesday,26.428571428571427,max:,71.0,min:,6.0,Standard deviation:,13.328135041087675,Confidence interval:,27.568678932274477,25.288463924868378,
Wednesday,22.369330453563716,max:,53.0,min:,6.0,Standard deviation:,10.163442352807191,Confidence interval:,23.295107489937497,21.443553417189936,
Thursday,22.11780104712042,max:,53.0,min:,6.0,Standard deviation:,9.76875280116457,Confidence interval:,23.097434280397017,21.138167813843822,
Friday,23.875,max:,57.0,min:,6.0,Standard deviation:,11.235931979717133,Confidence interval:,24.944503584466098,22.805496415533902,
Saturday,23.084380610412925,max:,58.0,min:,6.0,Standard deviation:,10.67817402737499,Confidence interval:,23.971180168976407,22.197581051849443,
Sunday,20.781065088757398,max:,52.0,min:,6.0,Standard deviation:,9.3725961520221,Confidence interval:,21.780277053448078,19.781853124066718,
Average,23.17438518045353,max:,71,min:,6,Standard deviation:,11.054766046586824,Confidence interval:,23.56161080912711,22.78715955177995,
