Parameters 
Historical Customer:,110, Wait:,5.0, Average Shopping:,55.0, Queue:,2,
Values:,
 Customer,1, Arrival time,6,:0,Exit time:,8: 40, Time spent:161
Customer,2, Arrival time,6,:0,Exit time:,8: 26, Time spent:147
Customer,3, Arrival time,6,:0,Exit time:,8: 42, Time spent:163
Customer,4, Arrival time,6,:0,Exit time:,7: 46, Time spent:107
Customer,5, Arrival time,6,:0,Exit time:,8: 36, Time spent:157
Customer,6, Arrival time,6,:0,Exit time:,7: 8, Time spent:69
Customer,7, Arrival time,6,:0,Exit time:,8: 2, Time spent:123
Customer,8, Arrival time,6,:0,Exit time:,9: 50, Time spent:231
Customer,9, Arrival time,6,:0,Exit time:,9: 24, Time spent:205
Customer,10, Arrival time,6,:0,Exit time:,8: 48, Time spent:169
Customer,11, Arrival time,6,:0,Exit time:,10: 16, Time spent:257
Customer,12, Arrival time,6,:0,Exit time:,8: 44, Time spent:165
Customer,13, Arrival time,6,:0,Exit time:,8: 54, Time spent:175
Customer,14, Arrival time,6,:0,Exit time:,6: 12, Time spent:13
Customer,15, Arrival time,6,:0,Exit time:,6: 10, Time spent:11
Customer,16, Arrival time,6,:0,Exit time:,10: 30, Time spent:271
Customer,17, Arrival time,6,:0,Exit time:,6: 18, Time spent:19
Customer,18, Arrival time,6,:0,Exit time:,8: 48, Time spent:169
Customer,19, Arrival time,6,:0,Exit time:,7: 26, Time spent:87
Customer,20, Arrival time,6,:0,Exit time:,6: 16, Time spent:17
Customer,21, Arrival time,6,:0,Exit time:,6: 20, Time spent:21
Customer,22, Arrival time,6,:0,Exit time:,7: 52, Time spent:113
Customer,23, Arrival time,6,:0,Exit time:,10: 12, Time spent:253
Customer,24, Arrival time,6,:0,Exit time:,9: 54, Time spent:235
Customer,25, Arrival time,6,:0,Exit time:,6: 30, Time spent:31
Customer,26, Arrival time,6,:0,Exit time:,8: 8, Time spent:129
Customer,27, Arrival time,6,:0,Exit time:,6: 36, Time spent:37
Customer,28, Arrival time,6,:0,Exit time:,7: 10, Time spent:71
Customer,29, Arrival time,6,:0,Exit time:,9: 0, Time spent:181
Customer,30, Arrival time,6,:0,Exit time:,7: 30, Time spent:91
Customer,31, Arrival time,6,:0,Exit time:,7: 12, Time spent:73
Customer,32, Arrival time,6,:0,Exit time:,7: 58, Time spent:119
