Parameters 
Historical Customer:,110, Wait:,5.0, Average Shopping:,55.0, Queue:,2,
Values:,
 Queue 0 amount:, 6, at 6,:06,
Queue 1 amount:, 5, at 6,:06,
Queue 0 amount:, 6, at 6,:08,
Queue 1 amount:, 5, at 6,:08,
Queue 0 amount:,13, at 6,:10,
Queue 1 amount:,12, at 6,:10,
Queue 0 amount:,13, at 6,:12,
Queue 1 amount:,11, at 6,:12,
Queue 0 amount:,12, at 6,:14,
Queue 1 amount:,11, at 6,:14,
Queue 0 amount:,21, at 6,:16,
Queue 1 amount:,20, at 6,:16,
Queue 0 amount:,21, at 6,:18,
Queue 1 amount:,19, at 6,:18,
Queue 0 amount:,27, at 6,:20,
Queue 1 amount:,27, at 6,:20,
Queue 0 amount:,26, at 6,:22,
Queue 1 amount:,26, at 6,:22,
Queue 0 amount:,25, at 6,:24,
Queue 1 amount:,25, at 6,:24,
Queue 0 amount:,34, at 6,:26,
Queue 1 amount:,34, at 6,:26,
Queue 0 amount:,34, at 6,:28,
Queue 1 amount:,34, at 6,:28,
Queue 0 amount:,44, at 6,:30,
Queue 1 amount:,43, at 6,:30,
Queue 0 amount:,43, at 6,:32,
Queue 1 amount:,42, at 6,:32,
Queue 0 amount:,43, at 6,:34,
Queue 1 amount:,41, at 6,:34,
Queue 0 amount:,46, at 6,:36,
Queue 1 amount:,45, at 6,:36,
Queue 0 amount:,45, at 6,:38,
Queue 1 amount:,45, at 6,:38,
Queue 0 amount:,47, at 6,:40,
Queue 1 amount:,47, at 6,:40,
Queue 0 amount:,47, at 6,:42,
Queue 1 amount:,46, at 6,:42,
Queue 0 amount:,46, at 6,:44,
Queue 1 amount:,45, at 6,:44,
Queue 0 amount:,47, at 6,:46,
Queue 1 amount:,46, at 6,:46,
Queue 0 amount:,47, at 6,:48,
Queue 1 amount:,46, at 6,:48,
Queue 0 amount:,47, at 6,:50,
Queue 1 amount:,46, at 6,:50,
Queue 0 amount:,47, at 6,:52,
Queue 1 amount:,45, at 6,:52,
Queue 0 amount:,46, at 6,:54,
Queue 1 amount:,45, at 6,:54,
Queue 0 amount:,48, at 6,:56,
Queue 1 amount:,48, at 6,:56,
Queue 0 amount:,47, at 6,:58,
Queue 1 amount:,48, at 6,:58,
Queue 0 amount:, 49, at 7,:00,
Queue 1 amount:, 48, at 7,:00,
Queue 0 amount:, 49, at 7,:02,
Queue 1 amount:, 48, at 7,:02,
Queue 0 amount:, 49, at 7,:04,
Queue 1 amount:, 48, at 7,:04,
Queue 0 amount:, 51, at 7,:06,
Queue 1 amount:, 50, at 7,:06,
Queue 0 amount:, 50, at 7,:08,
Queue 1 amount:, 49, at 7,:08,
Queue 0 amount:,50, at 7,:10,
Queue 1 amount:,50, at 7,:10,
Queue 0 amount:,50, at 7,:12,
Queue 1 amount:,49, at 7,:12,
Queue 0 amount:,50, at 7,:14,
Queue 1 amount:,48, at 7,:14,
Queue 0 amount:,52, at 7,:16,
Queue 1 amount:,51, at 7,:16,
Queue 0 amount:,51, at 7,:18,
Queue 1 amount:,51, at 7,:18,
Queue 0 amount:,55, at 7,:20,
Queue 1 amount:,54, at 7,:20,
Queue 0 amount:,55, at 7,:22,
Queue 1 amount:,53, at 7,:22,
Queue 0 amount:,55, at 7,:24,
Queue 1 amount:,53, at 7,:24,
Queue 0 amount:,57, at 7,:26,
Queue 1 amount:,56, at 7,:26,
Queue 0 amount:,56, at 7,:28,
Queue 1 amount:,56, at 7,:28,
Queue 0 amount:,57, at 7,:30,
Queue 1 amount:,56, at 7,:30,
Queue 0 amount:,56, at 7,:32,
Queue 1 amount:,56, at 7,:32,
Queue 0 amount:,56, at 7,:34,
Queue 1 amount:,56, at 7,:34,
Queue 0 amount:,58, at 7,:36,
Queue 1 amount:,58, at 7,:36,
Queue 0 amount:,57, at 7,:38,
Queue 1 amount:,58, at 7,:38,
Queue 0 amount:,59, at 7,:40,
Queue 1 amount:,58, at 7,:40,
Queue 0 amount:,59, at 7,:42,
Queue 1 amount:,58, at 7,:42,
Queue 0 amount:,58, at 7,:44,
Queue 1 amount:,57, at 7,:44,
Queue 0 amount:,58, at 7,:46,
