Parameters 
Historical Customer:,100, Wait:,2.0, Average Shopping:,35.0, Queue:,3,
Values:,
 Monday,32.65346534653465,max:,117.0,min:,6.0,Standard deviation:,21.42125142805267,Confidence interval:,34.35901590510788,30.947914787961423,
Tuesday,42.205619412515965,max:,139.0,min:,6.0,Standard deviation:,28.084344213068995,Confidence interval:,44.17277847346663,40.2384603515653,
Wednesday,44.23684210526316,max:,151.0,min:,6.0,Standard deviation:,33.208750334808315,Confidence interval:,46.72558798273137,41.748096227794946,
Thursday,44.47558770343581,max:,145.0,min:,6.0,Standard deviation:,34.01010169140438,Confidence interval:,47.31025071102806,41.64092469584355,
Friday,40.74349442379182,max:,125.0,min:,6.0,Standard deviation:,29.549234393068637,Confidence interval:,43.240452016393284,38.24653683119036,
Saturday,39.14728682170543,max:,115.0,min:,6.0,Standard deviation:,26.41641807288517,Confidence interval:,41.42660602665197,36.86796761675889,
Sunday,36.90802348336595,max:,112.0,min:,6.0,Standard deviation:,25.47185535205022,Confidence interval:,39.11656822146524,34.69947874526666,
Average,40.25304659498208,max:,151,min:,6,Standard deviation:,28.964482116732963,Confidence interval:,41.13060111591657,39.37549207404759,
