Parameters 
Historical Customer:,45, Wait:,2.0, Average Shopping:,45.0, Queue:,4,
Values:,
 Customer,1, Arrival time,6,:0,Exit time:,6: 10, Time spent:11
Customer,2, Arrival time,6,:0,Exit time:,6: 20, Time spent:21
Customer,3, Arrival time,6,:0,Exit time:,6: 24, Time spent:25
Customer,4, Arrival time,6,:0,Exit time:,6: 16, Time spent:17
Customer,5, Arrival time,6,:0,Exit time:,6: 18, Time spent:19
Customer,6, Arrival time,6,:0,Exit time:,6: 12, Time spent:13
Customer,7, Arrival time,6,:0,Exit time:,6: 32, Time spent:33
Customer,8, Arrival time,6,:0,Exit time:,6: 22, Time spent:23
Customer,9, Arrival time,6,:0,Exit time:,6: 28, Time spent:29
Customer,10, Arrival time,6,:0,Exit time:,6: 8, Time spent:9
Customer,11, Arrival time,6,:0,Exit time:,6: 26, Time spent:27
Customer,12, Arrival time,6,:0,Exit time:,6: 6, Time spent:7
Customer,13, Arrival time,6,:0,Exit time:,6: 20, Time spent:21
Customer,14, Arrival time,6,:0,Exit time:,6: 22, Time spent:23
Customer,15, Arrival time,6,:0,Exit time:,6: 24, Time spent:25
Customer,16, Arrival time,6,:0,Exit time:,6: 34, Time spent:35
Customer,17, Arrival time,6,:0,Exit time:,6: 32, Time spent:33
Customer,18, Arrival time,6,:0,Exit time:,6: 26, Time spent:27
Customer,19, Arrival time,6,:0,Exit time:,6: 30, Time spent:31
Customer,20, Arrival time,6,:0,Exit time:,6: 46, Time spent:47
Customer,21, Arrival time,6,:0,Exit time:,6: 6, Time spent:7
Customer,22, Arrival time,6,:0,Exit time:,6: 30, Time spent:31
Customer,23, Arrival time,6,:0,Exit time:,6: 20, Time spent:21
Customer,24, Arrival time,6,:0,Exit time:,6: 12, Time spent:13
Customer,25, Arrival time,6,:0,Exit time:,6: 6, Time spent:7
Customer,26, Arrival time,6,:0,Exit time:,6: 28, Time spent:29
Customer,27, Arrival time,6,:0,Exit time:,6: 12, Time spent:13
Customer,28, Arrival time,6,:0,Exit time:,6: 12, Time spent:13
Customer,29, Arrival time,6,:0,Exit time:,6: 36, Time spent:37
Customer,30, Arrival time,6,:0,Exit time:,6: 26, Time spent:27
Customer,31, Arrival time,6,:0,Exit time:,6: 16, Time spent:17
Customer,32, Arrival time,6,:0,Exit time:,6: 28, Time spent:29
Customer,33, Arrival time,6,:0,Exit time:,6: 10, Time spent:11
Customer,34, Arrival time,6,:0,Exit time:,6: 14, Time spent:15
Customer,35, Arrival time,6,:0,Exit time:,6: 18, Time spent:19
Customer,36, Arrival time,6,:0,Exit time:,6: 22, Time spent:23
Customer,37, Arrival time,6,:0,Exit time:,6: 36, Time spent:37
Customer,38, Arrival time,6,:0,Exit time:,6: 8, Time spent:9
Customer,39, Arrival time,6,:0,Exit time:,6: 40, Time spent:41
Customer,40, Arrival time,6,:0,Exit time:,6: 30, Time spent:31
Customer,41, Arrival time,6,:0,Exit time:,6: 8, Time spent:9
Customer,42, Arrival time,6,:0,Exit time:,6: 32, Time spent:33
Customer,43, Arrival time,6,:0,Exit time:,6: 14, Time spent:15
Customer,44, Arrival time,6,:0,Exit time:,6: 34, Time spent:35
Customer,45, Arrival time,6,:0,Exit time:,6: 36, Time spent:37
Customer,46, Arrival time,6,:0,Exit time:,6: 14, Time spent:15
Customer,47, Arrival time,6,:0,Exit time:,6: 16, Time spent:17
Customer,48, Arrival time,6,:0,Exit time:,6: 44, Time spent:45
Customer,49, Arrival time,6,:30,Exit time:,6: 50, Time spent:21
Customer,50, Arrival time,6,:30,Exit time:,6: 42, Time spent:13
Customer,51, Arrival time,6,:30,Exit time:,7: 0, Time spent:31
Customer,52, Arrival time,6,:35,Exit time:,6: 50, Time spent:16
Customer,53, Arrival time,6,:35,Exit time:,6: 42, Time spent:8
Customer,54, Arrival time,6,:35,Exit time:,6: 48, Time spent:14
Customer,55, Arrival time,6,:45,Exit time:,7: 16, Time spent:32
Customer,56, Arrival time,6,:45,Exit time:,6: 50, Time spent:6
Customer,57, Arrival time,6,:45,Exit time:,7: 0, Time spent:16
Customer,58, Arrival time,6,:45,Exit time:,6: 52, Time spent:8
Customer,59, Arrival time,6,:45,Exit time:,7: 16, Time spent:32
Customer,60, Arrival time,6,:45,Exit time:,6: 52, Time spent:8
Customer,61, Arrival time,6,:45,Exit time:,7: 8, Time spent:24
Customer,62, Arrival time,6,:45,Exit time:,7: 0, Time spent:16
Customer,63, Arrival time,6,:45,Exit time:,7: 14, Time spent:30
Customer,64, Arrival time,6,:45,Exit time:,6: 56, Time spent:12
Customer,65, Arrival time,6,:45,Exit time:,7: 0, Time spent:16
Customer,66, Arrival time,7,:0,Exit time:,7: 16, Time spent:17
Customer,67, Arrival time,7,:0,Exit time:,7: 10, Time spent:11
Customer,68, Arrival time,7,:0,Exit time:,7: 36, Time spent:37
Customer,69, Arrival time,7,:0,Exit time:,7: 26, Time spent:27
Customer,70, Arrival time,7,:0,Exit time:,7: 40, Time spent:41
Customer,71, Arrival time,7,:0,Exit time:,7: 36, Time spent:37
Customer,72, Arrival time,7,:0,Exit time:,7: 26, Time spent:27
Customer,73, Arrival time,7,:20,Exit time:,7: 40, Time spent:21
Customer,74, Arrival time,7,:20,Exit time:,7: 28, Time spent:9
Customer,75, Arrival time,7,:20,Exit time:,7: 36, Time spent:17
Customer,76, Arrival time,7,:20,Exit time:,7: 36, Time spent:17
Customer,77, Arrival time,7,:20,Exit time:,7: 44, Time spent:25
Customer,78, Arrival time,7,:20,Exit time:,7: 40, Time spent:21
Customer,79, Arrival time,7,:20,Exit time:,7: 42, Time spent:23
Customer,80, Arrival time,7,:20,Exit time:,7: 42, Time spent:23
Customer,81, Arrival time,7,:20,Exit time:,7: 38, Time spent:19
Customer,82, Arrival time,7,:20,Exit time:,7: 50, Time spent:31
Customer,83, Arrival time,7,:30,Exit time:,7: 50, Time spent:21
Customer,84, Arrival time,7,:30,Exit time:,7: 46, Time spent:17
Customer,85, Arrival time,7,:30,Exit time:,7: 38, Time spent:9
Customer,86, Arrival time,7,:50,Exit time:,8: 10, Time spent:21
Customer,87, Arrival time,7,:50,Exit time:,8: 10, Time spent:21
Customer,88, Arrival time,7,:50,Exit time:,8: 6, Time spent:17
Customer,89, Arrival time,8,:10,Exit time:,8: 28, Time spent:19
Customer,90, Arrival time,8,:10,Exit time:,8: 26, Time spent:17
Customer,91, Arrival time,8,:10,Exit time:,8: 38, Time spent:29
Customer,92, Arrival time,8,:15,Exit time:,8: 32, Time spent:18
Customer,93, Arrival time,8,:15,Exit time:,8: 40, Time spent:26
Customer,94, Arrival time,8,:15,Exit time:,8: 30, Time spent:16
Customer,95, Arrival time,8,:20,Exit time:,8: 36, Time spent:17
Customer,96, Arrival time,8,:20,Exit time:,8: 46, Time spent:27
Customer,97, Arrival time,8,:20,Exit time:,8: 28, Time spent:9
Customer,98, Arrival time,8,:25,Exit time:,8: 32, Time spent:8
Customer,99, Arrival time,8,:25,Exit time:,8: 40, Time spent:16
Customer,100, Arrival time,8,:25,Exit time:,8: 50, Time spent:26
Customer,101, Arrival time,8,:50,Exit time:,9: 10, Time spent:21
Customer,102, Arrival time,8,:50,Exit time:,9: 2, Time spent:13
Customer,103, Arrival time,8,:50,Exit time:,9: 6, Time spent:17
Customer,104, Arrival time,9,:0,Exit time:,9: 40, Time spent:41
Customer,105, Arrival time,9,:0,Exit time:,9: 16, Time spent:17
Customer,106, Arrival time,9,:0,Exit time:,9: 20, Time spent:21
Customer,107, Arrival time,9,:0,Exit time:,9: 22, Time spent:23
Customer,108, Arrival time,9,:0,Exit time:,9: 20, Time spent:21
Customer,109, Arrival time,9,:0,Exit time:,9: 8, Time spent:9
Customer,110, Arrival time,9,:0,Exit time:,9: 20, Time spent:21
Customer,111, Arrival time,9,:0,Exit time:,9: 10, Time spent:11
Customer,112, Arrival time,9,:0,Exit time:,9: 16, Time spent:17
Customer,113, Arrival time,9,:0,Exit time:,9: 40, Time spent:41
Customer,114, Arrival time,9,:0,Exit time:,9: 12, Time spent:13
Customer,115, Arrival time,9,:15,Exit time:,9: 46, Time spent:32
Customer,116, Arrival time,9,:15,Exit time:,9: 36, Time spent:22
Customer,117, Arrival time,9,:15,Exit time:,9: 32, Time spent:18
Customer,118, Arrival time,9,:15,Exit time:,9: 26, Time spent:12
Customer,119, Arrival time,9,:15,Exit time:,9: 30, Time spent:16
Customer,120, Arrival time,9,:15,Exit time:,9: 40, Time spent:26
Customer,121, Arrival time,9,:15,Exit time:,9: 36, Time spent:22
Customer,122, Arrival time,9,:15,Exit time:,9: 58, Time spent:44
Customer,123, Arrival time,9,:15,Exit time:,9: 50, Time spent:36
Customer,124, Arrival time,9,:15,Exit time:,9: 26, Time spent:12
Customer,125, Arrival time,9,:15,Exit time:,9: 38, Time spent:24
Customer,126, Arrival time,9,:20,Exit time:,9: 30, Time spent:11
Customer,127, Arrival time,9,:20,Exit time:,9: 30, Time spent:11
Customer,128, Arrival time,9,:20,Exit time:,9: 34, Time spent:15
Customer,129, Arrival time,9,:20,Exit time:,9: 34, Time spent:15
Customer,130, Arrival time,9,:20,Exit time:,9: 46, Time spent:27
Customer,131, Arrival time,9,:20,Exit time:,9: 34, Time spent:15
Customer,132, Arrival time,9,:20,Exit time:,9: 26, Time spent:7
Customer,133, Arrival time,9,:35,Exit time:,9: 56, Time spent:22
Customer,134, Arrival time,9,:35,Exit time:,9: 42, Time spent:8
Customer,135, Arrival time,9,:35,Exit time:,9: 58, Time spent:24
Customer,136, Arrival time,9,:40,Exit time:,10: 0, Time spent:21
Customer,137, Arrival time,9,:40,Exit time:,10: 12, Time spent:33
Customer,138, Arrival time,9,:40,Exit time:,9: 50, Time spent:11
Customer,139, Arrival time,9,:40,Exit time:,9: 46, Time spent:7
Customer,140, Arrival time,9,:40,Exit time:,10: 6, Time spent:27
Customer,141, Arrival time,9,:40,Exit time:,9: 48, Time spent:9
Customer,142, Arrival time,9,:40,Exit time:,10: 8, Time spent:29
Customer,143, Arrival time,9,:40,Exit time:,10: 0, Time spent:21
Customer,144, Arrival time,9,:40,Exit time:,10: 6, Time spent:27
Customer,145, Arrival time,9,:40,Exit time:,9: 50, Time spent:11
Customer,146, Arrival time,9,:45,Exit time:,9: 56, Time spent:12
Customer,147, Arrival time,9,:45,Exit time:,10: 10, Time spent:26
Customer,148, Arrival time,9,:45,Exit time:,9: 52, Time spent:8
Customer,149, Arrival time,9,:50,Exit time:,10: 20, Time spent:31
Customer,150, Arrival time,9,:50,Exit time:,10: 30, Time spent:41
Customer,151, Arrival time,9,:50,Exit time:,10: 6, Time spent:17
Customer,152, Arrival time,10,:10,Exit time:,10: 36, Time spent:27
Customer,153, Arrival time,10,:10,Exit time:,10: 26, Time spent:17
Customer,154, Arrival time,10,:10,Exit time:,10: 46, Time spent:37
Customer,155, Arrival time,10,:10,Exit time:,10: 36, Time spent:27
Customer,156, Arrival time,10,:10,Exit time:,10: 46, Time spent:37
Customer,157, Arrival time,10,:10,Exit time:,10: 30, Time spent:21
Customer,158, Arrival time,10,:10,Exit time:,10: 20, Time spent:11
Customer,159, Arrival time,10,:15,Exit time:,10: 38, Time spent:24
Customer,160, Arrival time,10,:15,Exit time:,10: 36, Time spent:22
Customer,161, Arrival time,10,:15,Exit time:,10: 30, Time spent:16
Customer,162, Arrival time,10,:20,Exit time:,10: 28, Time spent:9
Customer,163, Arrival time,10,:20,Exit time:,10: 26, Time spent:7
Customer,164, Arrival time,10,:20,Exit time:,10: 32, Time spent:13
Customer,165, Arrival time,10,:25,Exit time:,10: 40, Time spent:16
Customer,166, Arrival time,10,:25,Exit time:,10: 50, Time spent:26
Customer,167, Arrival time,10,:25,Exit time:,10: 48, Time spent:24
Customer,168, Arrival time,10,:50,Exit time:,11: 30, Time spent:41
Customer,169, Arrival time,10,:50,Exit time:,11: 10, Time spent:21
Customer,170, Arrival time,10,:50,Exit time:,11: 14, Time spent:25
Customer,171, Arrival time,10,:50,Exit time:,11: 10, Time spent:21
Customer,172, Arrival time,10,:50,Exit time:,10: 56, Time spent:7
Customer,173, Arrival time,10,:50,Exit time:,11: 10, Time spent:21
Customer,174, Arrival time,10,:50,Exit time:,11: 2, Time spent:13
Customer,175, Arrival time,11,:15,Exit time:,11: 20, Time spent:6
Customer,176, Arrival time,11,:15,Exit time:,11: 38, Time spent:24
Customer,177, Arrival time,11,:15,Exit time:,11: 20, Time spent:6
Customer,178, Arrival time,11,:30,Exit time:,12: 0, Time spent:31
Customer,179, Arrival time,11,:30,Exit time:,11: 40, Time spent:11
Customer,180, Arrival time,11,:30,Exit time:,12: 2, Time spent:33
Customer,181, Arrival time,11,:30,Exit time:,12: 0, Time spent:31
Customer,182, Arrival time,11,:30,Exit time:,11: 46, Time spent:17
Customer,183, Arrival time,11,:30,Exit time:,11: 46, Time spent:17
Customer,184, Arrival time,11,:30,Exit time:,11: 40, Time spent:11
