Parameters 
Historical Customer:,80, Wait:,4.0, Average Shopping:,50.0, Queue:,5,
Values:,
Customer,90, Arrival time,6,:20,Exit time:,7: 10, Time spent:51
Customer,91, Arrival time,6,:20,Exit time:,7: 24, Time spent:65
Customer,92, Arrival time,6,:20,Exit time:,7: 14, Time spent:55
Customer,93, Arrival time,6,:40,Exit time:,7: 26, Time spent:47
Customer,94, Arrival time,6,:40,Exit time:,7: 20, Time spent:41
Customer,95, Arrival time,6,:40,Exit time:,7: 24, Time spent:45
Customer,96, Arrival time,6,:40,Exit time:,7: 30, Time spent:51
Customer,97, Arrival time,6,:40,Exit time:,7: 26, Time spent:47
Customer,98, Arrival time,6,:40,Exit time:,7: 26, Time spent:47
Customer,99, Arrival time,7,:0,Exit time:,7: 26, Time spent:27
Customer,100, Arrival time,7,:0,Exit time:,7: 28, Time spent:29
Customer,101, Arrival time,7,:0,Exit time:,7: 32, Time spent:33
Customer,102, Arrival time,7,:0,Exit time:,7: 30, Time spent:31
Customer,103, Arrival time,7,:0,Exit time:,7: 34, Time spent:35
Customer,104, Arrival time,7,:0,Exit time:,7: 30, Time spent:31
Customer,105, Arrival time,7,:15,Exit time:,7: 32, Time spent:18
Customer,106, Arrival time,7,:15,Exit time:,7: 32, Time spent:18
Customer,107, Arrival time,7,:15,Exit time:,7: 44, Time spent:30
Customer,108, Arrival time,7,:15,Exit time:,7: 36, Time spent:22
Customer,109, Arrival time,7,:15,Exit time:,7: 32, Time spent:18
Customer,110, Arrival time,7,:15,Exit time:,7: 28, Time spent:14
Customer,111, Arrival time,7,:20,Exit time:,7: 32, Time spent:13
Customer,112, Arrival time,7,:20,Exit time:,7: 46, Time spent:27
Customer,113, Arrival time,7,:20,Exit time:,8: 6, Time spent:47
Customer,114, Arrival time,7,:20,Exit time:,7: 50, Time spent:31
Customer,115, Arrival time,7,:20,Exit time:,7: 46, Time spent:27
Customer,116, Arrival time,7,:20,Exit time:,7: 48, Time spent:29
Customer,117, Arrival time,8,:0,Exit time:,8: 6, Time spent:7
Customer,118, Arrival time,8,:0,Exit time:,8: 20, Time spent:21
Customer,119, Arrival time,8,:0,Exit time:,8: 12, Time spent:13
Customer,120, Arrival time,8,:0,Exit time:,8: 10, Time spent:11
Customer,121, Arrival time,8,:0,Exit time:,8: 10, Time spent:11
Customer,122, Arrival time,8,:0,Exit time:,8: 32, Time spent:33
Customer,123, Arrival time,8,:0,Exit time:,8: 16, Time spent:17
Customer,124, Arrival time,8,:0,Exit time:,8: 12, Time spent:13
Customer,125, Arrival time,8,:0,Exit time:,8: 20, Time spent:21
Customer,126, Arrival time,8,:0,Exit time:,8: 28, Time spent:29
Customer,127, Arrival time,8,:0,Exit time:,8: 34, Time spent:35
Customer,128, Arrival time,8,:0,Exit time:,8: 56, Time spent:57
Customer,129, Arrival time,8,:0,Exit time:,8: 30, Time spent:31
Customer,130, Arrival time,8,:0,Exit time:,8: 14, Time spent:15
Customer,131, Arrival time,8,:0,Exit time:,8: 32, Time spent:33
Customer,132, Arrival time,8,:0,Exit time:,8: 28, Time spent:29
Customer,133, Arrival time,8,:0,Exit time:,8: 12, Time spent:13
Customer,134, Arrival time,8,:0,Exit time:,8: 38, Time spent:39
Customer,135, Arrival time,8,:0,Exit time:,8: 18, Time spent:19
Customer,136, Arrival time,8,:0,Exit time:,8: 14, Time spent:15
Customer,137, Arrival time,8,:10,Exit time:,8: 34, Time spent:25
Customer,138, Arrival time,8,:10,Exit time:,8: 36, Time spent:27
Customer,139, Arrival time,8,:10,Exit time:,8: 38, Time spent:29
Customer,140, Arrival time,8,:10,Exit time:,8: 42, Time spent:33
Customer,141, Arrival time,8,:10,Exit time:,8: 42, Time spent:33
Customer,142, Arrival time,8,:10,Exit time:,8: 16, Time spent:7
Customer,143, Arrival time,8,:20,Exit time:,8: 32, Time spent:13
Customer,144, Arrival time,8,:20,Exit time:,8: 30, Time spent:11
